Token,Frequency (in %)
persuasion,0.014122299110295156
parties,0.026960752846927116
preferred,0.01283845373663196
fancied,0.011554608362968764
unequal,0.008986917615642373
company,0.04365074270454866
scarcely,0.026960752846927116
Real,0.001283845373663196
Westons,0.010270762989305567
liking,0.007703072241979176
privilege,0.00641922686831598
exchanging,0.001283845373663196
vacant,0.002567690747326392
blank,0.005135381494652784
elegancies,0.003851536120989588
lovely,0.014122299110295156
thrown,0.023109216725937527
After,0.026960752846927116
set,0.08088225854078135
Goddard,0.06804380480414939
ladies,0.05392150569385423
invitation,0.026960752846927116
fetched,0.002567690747326392
carried,0.00641922686831598
hardship,0.003851536120989588
Had,0.023109216725937527
grievance,0.002567690747326392
widow,0.003851536120989588
vicar,0.002567690747326392
quadrille,0.001283845373663196
respect,0.052637660320191036
harmless,0.003851536120989588
untoward,0.001283845373663196
enjoyed,0.008986917615642373
uncommon,0.005135381494652784
degree,0.06932765017781259
popularity,0.003851536120989588
neither,0.04108305195722227
stood,0.01925768060494794
predicament,0.001283845373663196
public,0.016689989857621546
favour,0.032096134341579895
superiority,0.01283845373663196
atonement,0.002567690747326392
